,Name,Date,Year of Birth
0,Dan Anderson,1/1,1951
1,Chris Anstey,1/1,1975
2,Kobe Brown,1/1,2000
3,Jim Browne,1/1,1930
4,Leroy Combs,1/1,1961
5,Rick Darnell,1/1,1953
6,Glen Davis,1/1,1986
7,Travis Grant,1/1,1950
8,Jimmy Jones,1/1,1945
9,Steve Kramer,1/1,1945
10,Ronnie Lester,1/1,1959
11,John Logan,1/1,1921
12,Bones McKinney,1/1,1919
13,Mike Mitchell,1/1,1956
14,Larry Nance Jr.,1/1,1993
15,Glen Rice Jr.,1/1,1991
16,Tony Robertson,1/1,1956
17,Sam Robinson,1/1,1948
18,Al Sanders,1/1,1950
19,Alan Sawyer,1/1,1928
20,Tiago Splitter,1/1,1985
21,Jeff Taylor,1/1,1960
22,Margold Clark,1/1,1971
23,Brandi Davis,1/1,1983
24,Bridget Pettis,1/1,1971
25,Jonah Bolden,1/2,1996
26,Bob Feerick,1/2,1920
27,Gerald Govan,1/2,1942
28,Luke Harangody,1/2,1988
29,Kirk Hinrich,1/2,1981
30,Georgios Kalaitzakis,1/2,1999
31,Ed Manning,1/2,1944
32,Xavier Moon,1/2,1995
33,Randolph Morris,1/2,1986
34,Mike Newlin,1/2,1949
35,Irving Thomas,1/2,1966
36,Chris Welp,1/2,1964
37,Aaron Wiggins,1/2,1999
38,Michael Young,1/2,1961
39,Lisa Harrison,1/2,1971
40,Li Meng,1/2,1995
41,Deni Avdija,1/3,2001
42,Jay Edwards,1/3,1969
43,Tony Farmer,1/3,1970
44,Rondae Hollis-Jefferson,1/3,1995
45,Buck Johnson,1/3,1964
46,Linas Kleiza,1/3,1985
47,Bobby Lloyd,1/3,1946
48,Don May,1/3,1946
49,Doug McDermott,1/3,1992
50,George McLeod,1/3,1931
51,Paul Mokeski,1/3,1957
52,Darius Morris,1/3,1991
53,Fritz Nagy,1/3,1924
54,Nikola Peković,1/3,1986
55,Jake Pelkington,1/3,1916
56,Melvin Sanders,1/3,1981
57,Dick Schulz,1/3,1917
58,Cedric Simmons,1/3,1986
59,Deborah Carter,1/3,1972
60,Noelle Quinn,1/3,1985
61,Kristy Wallace,1/3,1996
62,Mel Bennett,1/4,1955
63,Corie Blount,1/4,1969
64,Will Bynum,1/4,1983
65,Fred Cofield,1/4,1962
66,Terry Crosby,1/4,1957
67,Sidney Green,1/4,1961
68,Al Jefferson,1/4,1985
69,Joe Kleine,1/4,1962
70,Wayne Kreklow,1/4,1957
71,Arnoldas Kulboka,1/4,1998
72,Cliff Levingston,1/4,1961
73,James Michael McAdoo,1/4,1993
74,Scott Meents,1/4,1964
75,Jim Rowinski,1/4,1961
76,Collin Sexton,1/4,1999
77,Victor Wembanyama,1/4,2004
78,Ante Žižić,1/4,1997
79,Marissa Coleman,1/4,1987
80,Frida Eldebrink,1/4,1988
81,Dick Clark,1/5,1944
82,Walt Davis,1/5,1931
83,Nate DeLong,1/5,1926
84,Alex English,1/5,1954
85,Butch Graves,1/5,1962
86,Isaac Humphries,1/5,1998
87,Jack Kiley,1/5,1929
88,Eric Mika,1/5,1995
89,Rick Mount,1/5,1947
90,George Munroe,1/5,1922
91,Tony Price,1/5,1957
92,Miroslav Raduljica,1/5,1988
93,Malachi Richardson,1/5,1996
94,Tyler Ulis,1/5,1996
95,Kayla Alexander,1/5,1991
96,Andrea Garner,1/5,1979
97,Jonquel Jones,1/5,1994
98,Taylor Soule,1/5,2000
99,Gilbert Arenas,1/6,1982
100,Will Barton,1/6,1991
101,Pat Connaughton,1/6,1993
102,Paul Grant,1/6,1974
103,Cecil Hankins,1/6,1922
104,Sean Kilpatrick,1/6,1990
105,Duane Klueh,1/6,1926
106,Freddie Lewis,1/6,1921
107,Tom Marshall,1/6,1931
108,KJ Martin,1/6,2001
109,Mac McClung,1/6,1999
110,Pearl Washington,1/6,1964
111,Chen Nan,1/6,1983
112,Jordan Bell,1/7,1995
113,Jesse Branson,1/7,1942
114,JamesOn Curry,1/7,1986
115,Marquis Daniels,1/7,1981
116,Todd Day,1/7,1970
117,Reece Gaines,1/7,1981
118,Dan King,1/7,1931
119,Johnny Macknowski,1/7,1923
120,Don Rehfeldt,1/7,1927
121,Deb Smith,1/7,1920
122,Jarnell Stokes,1/7,1994
123,Trevor Winter,1/7,1974
124,Cappie Pondexter,1/7,1983
125,Willie Anderson,1/8,1967
126,Tony Bradley,1/8,1998
127,Ignas Brazdeikis,1/8,1999
128,Bill Closs,1/8,1922
129,Hook Dillon,1/8,1924
130,Chris Douglas-Roberts,1/8,1987
131,Keon Ellis,1/8,2000
132,Cedrick Hordges,1/8,1957
133,Greg Howard,1/8,1948
134,Tre Jones,1/8,2000
135,Todd Lichti,1/8,1967
136,Kevin McKenna,1/8,1959
137,Calvin Natt,1/8,1957
138,Larry Owens,1/8,1983
139,Glenn Robinson III,1/8,1994
140,Greg Smith,1/8,1991
141,Sam Smith,1/8,1955
142,Granville Waiters,1/8,1961
143,DiJonai Carrington,1/8,1998
144,Lorela Cubaj,1/8,1999
145,Stefanie Dolson,1/8,1992
146,Michael Beasley,1/9,1989
147,Muggsy Bogues,1/9,1965
148,M.L. Carr,1/9,1951
149,Fred Diute,1/9,1929
150,Sharrod Ford,1/9,1982
151,Caleb Houstan,1/9,2003
152,Bobby Jones,1/9,1984
153,Terrence Jones,1/9,1992
154,Zeke Nnaji,1/9,2001
155,Luka Šamanić,1/9,2000
156,Samardo Samuels,1/9,1989
157,Aaron Swinson,1/9,1971
158,Zia Cooke,1/9,2001
159,Scholanda Dorrell,1/9,1983
160,Whitney Knight,1/9,1993
161,Giuliana Mendiola,1/9,1982
162,Santi Aldama,1/10,2001
163,A.J. Bramlett,1/10,1977
164,George Carter,1/10,1944
165,Carl Fuller,1/10,1946
166,Georgi Glouchkov,1/10,1960
167,Herm Hedderick,1/10,1930
168,Isaiah Jackson,1/10,2002
169,Glenn Robinson,1/10,1973
170,Tremont Waters,1/10,1998
171,Hajdana Radunovic,1/10,1978
172,Belinda Snell,1/10,1981
173,Bud Acton,1/11,1942
174,Tony Allen,1/11,1982
175,Wally Anderzunas,1/11,1946
176,Chris Boucher,1/11,1993
177,Gary Brokaw,1/11,1954
178,Darryl Dawkins,1/11,1957
179,Chris Ford,1/11,1949
180,Chris Jent,1/11,1970
181,Terence Morris,1/11,1979
182,Efthimios Rentzias,1/11,1976
183,Larry Robinson,1/11,1968
184,Andre Wakefield,1/11,1955
185,Damien Wilkins,1/11,1980
186,Kaayla Chones,1/11,1981
187,Briann January,1/11,1987
188,Epiphanny Prince,1/11,1988
189,Toccara Williams,1/11,1982
190,Toni Young,1/11,1991
191,Jamel Artis,1/12,1993
192,Art Becker,1/12,1942
193,Scott Burrell,1/12,1971
194,Bonzie Colson,1/12,1996
195,Robert Hite,1/12,1984
196,Charles Jones,1/12,1962
197,Joe Kennedy,1/12,1947
198,Hamady N'Diaye,1/12,1987
199,Jim Ray,1/12,1934
200,Campy Russell,1/12,1952
201,Claude Terry,1/12,1950
202,Xavier Tillman Sr.,1/12,1999
203,Dominique Wilkins,1/12,1960
204,Allisha Gray,1/12,1995
205,Leslie Johnson,1/12,1975
206,Tina Krajisnik,1/12,1991
207,Henry Ellenson,1/13,1997
208,Tom Gola,1/13,1933
209,Art Harris,1/13,1947
210,Vern Hatton,1/13,1936
211,Earl Jones,1/13,1961
212,Alec Kessler,1/13,1967
213,Vasilije Micić,1/13,1994
214,James Posey,1/13,1977
215,Jason Sasser,1/13,1974
216,Ronny Turiaf,1/13,1983
217,Kelly Boucher,1/13,1968
218,Kiesha Brown,1/13,1979
219,Vedrana Grgin-Fonseca,1/13,1975
220,Porsha Phillips,1/13,1988
221,Ron Behagen,1/14,1951
222,Hank Biasatti,1/14,1922
223,Mike Bloom,1/14,1915
224,Aaron Brooks,1/14,1985
225,Ray Corley,1/14,1928
226,Jordan Hall,1/14,2002
227,Wayne Hightower,1/14,1940
228,John Lambert,1/14,1953
229,Jeff Martin,1/14,1967
230,Swen Nater,1/14,1950
231,David Nwaba,1/14,1993
232,Kenny Sailors,1/14,1921
233,Jeff Sanders,1/14,1966
234,Stacey Ford,1/14,1969
235,Rita Williams,1/14,1976
236,Kadeem Allen,1/15,1993
237,Cliff Barker,1/15,1921
238,Bob Davies,1/15,1920
239,Ernie DiGregorio,1/15,1951
240,Joe Graboski,1/15,1930
241,Jim Hadnot,1/15,1940
242,Nate Hawthorne,1/15,1950
243,Fred Hilton,1/15,1948
244,George King,1/15,1994
245,Don Kojis,1/15,1939
246,Pavel Podkolzin,1/15,1985
247,Roger Powell,1/15,1983
248,Donald Sloan,1/15,1988
249,Al Smith,1/15,1947
